artikelordernummer;Artikelname;EAN;Metatitel;Beschreibung;Anwendung;inci;manufcaturer
PF0101SL01LBO;Liquid Soap Marseille 1L Refill OLIVE WOOD;3551780000010;Verwöhne deine Haut mit dem sinnlichen Duft von Olivenholz: Compagnie de Provence Liquid Soap Marseille 1L Nachfüllung;Luxuriöse Seife mit sinnlichem Duft Die flüssige Seife von Compagnie de Provence wird traditionell durch die Verseifung in einem Kessel hegestellt – wie schon ihr Vorfahre, der ikonische Seifenwürfel aus Marseille. Die Liquid Marseille Soap Olive Wood verwandelt sich bei Kontakt mit Wasser in einen cremigen Schaum, der die Haut mit pflanzlichen Ölen wie Oliven- und Süßmandelöl aus der Provence und Traubenkernöl aus Frankreich effektiv reinigt. Die ultrasanfte Formel eignet sich nicht nur optimal zum häufigen Händewaschen, sie kann auch hervorragend für die Reinigung des gesamten Körpers verwendet werden. In Olive Wood vereinen sich Zitrusfrüchte und Kampfer mit den Noten von sonnenerwärmten Hölzern zu einem sinnlichen Duft, der einen Hauch von Frische mit sich bringt. Die Flüssigseife präsentiert sich in einer eleganten und farbenfrohen Pumpflasche aus Glas – ein echter Hingucker in Badezimmer und Küche.    Mehr zu diesem Produkt  Flüssigseife mit 95 % natürlichen Inhaltsstoffen reinigt effektiv & sanft  Noten von Kamper, Zitrusfrüchten & edlen Hölzern nachfüllbare, recyclebare Pumpflasche   *Die restlichen 5% sind notwendig, um die richtigen Konservierungseigenschaften im Produkt und eine noch sensorischere Textur zu gewährleisten.;Füllen Sie Ihre modernen Pumpflaschen 495 ml und 300 ml immer wieder neu, um Ihre Flüssigseife noch länger zu genießen. Die Seife eignet sich ideal für häufiges Händewaschen. Zudem kann sie als Köperreinigung verwendet werden: Auf die feuchte Haut auftragen, sanft einmassieren und anschließend gründlich abwaschen.  Hinweis: Nur für die äußerliche Anwendung. Den Kontakt mit den Augen vermeiden.;Aqua (Water), Potassium Cocoate, Glycerin, Parfum (Fragrance), Hydroxyethylcellulose, Polyglyceryl-3 Caprylate, Tetrasodium Glutamate Diacetate, Cocos Nucifera (Coconut) Oil, Potassium Olivate, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Vitis Vinifera (Grape) Seed Oil, Tetrasodium EDTA, Limonene, Tocopherol, Linalool, Citral, Eugenol, Alpha-Isomethyl Ionone, Benzyl Salicylate, Disodium Phosphate, Polysorbate 60, Helianthus Annuus (Sunflower) Seed Oil, Olea Europaea (Olive) Fruit Oil, Sodium Phosphate;La Compagnie de Provence
PF0101SL01LCO;Liquid Soap Marseille 1L Refill COTTON FLOWER;3551780000027;Erlebe die sanfte Reinigung mit Compagnie de Provence Liquid Soap Marseille Cotton Flower - 1L Nachfüllpack!;Luxuriöse Seife mit floralem Duft Die flüssige Seife von Compagnie de Provence wird traditionell durch die Verseifung in einem Kessel hegestellt – wie schon ihr Vorfahre, der ikonische Seifenwürfel aus Marseille. Die Liquid Marseille Soap Cotton Flower verwandelt sich bei Kontakt mit Wasser in einen cremigen Schaum, der die Haut mit Oliven- und Süßmandelöl aus der Provence und Traubenkernöl aus Frankreich effektiv reinigt. Die ultrasanfte Formel eignet sich nicht nur optimal zum häufigen Händewaschen, sie kann auch hervorragend für die Reinigung des gesamten Körpers verwendet werden. Der blumige, zarte und pudrige Duft der Seife umhüllt die Sinne und erinnert auf wunderbare Weise an die einzigartige Weichheit von Baumwolle. Liquid Marseille Soap Cotton Flower präsentiert sich in einer eleganten und farbenfrohen Pumpflasche aus Glas – ein echter Hingucker in Badezimmer und Küche.    Mehr zu diesem Produkt  Flüssigseife mit 95 % natürlichen Inhaltsstoffen reinigt effektiv & sanft  pudriger, zarter & blumiger Duft nachfüllbare, recyclebare Pumpflasche;Füllen Sie Ihre modernen Pumpflaschen 495 ml und 300 ml immer wieder neu, um Ihre Flüssigseife noch länger zu genießen. Die Seife eignet sich ideal für häufiges Händewaschen. Zudem kann sie als Köperreinigung verwendet werden: Auf die feuchte Haut auftragen, sanft einmassieren und anschließend gründlich abwaschen.  Hinweis: Nur für die äußerliche Anwendung. Den Kontakt mit den Augen vermeiden.;Aqua (Water), Potassium Cocoate, Glycerin, Parfum (Fragrance), Hydroxyethylcellulose, Polyglyceryl-3 Caprylate, Tetrasodium Glutamate Diacetate, Cocos Nucifera (Coconut) Oil, Potassium Olivate, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Vitis Vinifera (Grape) Seed Oil, Tetrasodium EDTA, Tocopherol, Disodium Phosphate, Polysorbate 60, Helianthus Annuus (Sunflower) Seed Oil, Olea Europaea (Olive) Fruit Oil, Sodium Phosphate;La Compagnie de Provence
PF0101SL01LFI;Liquid Soap Marseille 1l Refill FIG OF PROVENCE;3551780000034;Nachfüllbare Flüssigseife Marseille 1L - Fig of Provence mit süßem Feigenduft von La Compagnie de Provence;Luxuriöse Seife mit exquisitem Duft Die flüssige Seife von Compagnie de Provence wird traditionell durch die Verseifung in einem Kessel hegestellt – wie schon ihr Vorfahre, der ikonische Seifenwürfel aus Marseille. Die Liquid Marseille Soap Fig of Provence verwandelt sich bei Kontakt mit Wasser in einen cremigen Schaum, der die Haut mit Oliven- und Süßmandelöl aus der Provence und Traubenkernöl aus Frankreich effektiv reinigt. Die ultrasanfte Formel eignet sich nicht nur optimal zum häufigen Händewaschen, sie kann auch hervorragend für die Reinigung des gesamten Körpers verwendet werden. Liquid Marseille Soap Fig of Provence umhüllt die Sinne mit den Noten von süßen Früchten, die an die in Grasse entstandene Feige der Provence erinnern. Die Flüssigseife präsentiert sich in einer eleganten und farbenfrohen Pumpflasche aus Glas – ein echter Hingucker in Badezimmer und Küche.    Mehr zu diesem Produkt  Flüssigseife mit 95 % natürlichen Inhaltsstoffen reinigt effektiv & sanft  Noten von süßen Früchten nachfüllbare, recyclebare Pumpflasche   *Die restlichen 5% sind notwendig, um die richtigen Konservierungseigenschaften im Produkt und eine noch sensorischere Textur zu gewährleisten.;Füllen Sie Ihre modernen Pumpflaschen 495 ml und 300 ml immer wieder neu, um Ihre Flüssigseife noch länger zu genießen. Die Seife eignet sich ideal für häufiges Händewaschen. Zudem kann sie als Köperreinigung verwendet werden: Auf die feuchte Haut auftragen, sanft einmassieren und anschließend gründlich abwaschen.  Hinweis: Nur für die äußerliche Anwendung. Den Kontakt mit den Augen vermeiden.;Aqua (Water), Potassium Cocoate, Glycerin, Parfum (Fragrance), Hydroxyethylcellulose, Polyglyceryl-3 Caprylate, Tetrasodium Glutamate Diacetate, Cocos Nucifera (Coconut) Oil, Potassium Olivate, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Vitis Vinifera (Grape) Seed Oil, Tetrasodium EDTA, Tocopherol, Disodium Phosphate, Polysorbate 60, Helianthus Annuus (Sunflower) Seed Oil, Olea Europaea (Olive) Fruit Oil, Sodium Phosphate;La Compagnie de Provence
PF0101SL01LLA;Liquid Soap Marseille 1l Refill AROMATIC LAVENDER;3551780000058;Verwöhne deine Hände mit dem aromatischen Lavendelduft - Liquid Soap Marseille 1L Nachfüllpackung von Compagnie de Provence;Luxuriöse Seife mit beruhigendem Duft Die flüssige Seife von Compagnie de Provence wird traditionell durch die Verseifung in einem Kessel hegestellt – wie schon ihr Vorfahre, der ikonische Seifenwürfel aus Marseille. Die Liquid Marseille Soap Aromatic Lavender verwandelt sich bei Kontakt mit Wasser in einen cremigen Schaum, der die Haut mit Oliven- und Süßmandelöl aus der Provence und Traubenkernöl aus Frankreich effektiv reinigt. Die ultrasanfte Formel mit beruhigendem Lavendelduft eignet sich nicht nur optimal zum häufigen Händewaschen, sie kann auch hervorragend für die Reinigung des gesamten Körpers verwendet werden. Die Flüssigseife präsentiert sich in einer eleganten und farbenfrohen Pumpflasche aus Glas – ein echter Hingucker in Badezimmer und Küche.    Mehr zu diesem Produkt  Flüssigseife mit 95 % natürlichen Inhaltsstoffen reinigt effektiv & sanft  beruhigender Lavendelduft  nachfüllbare, recyclebare Pumpflasche;Füllen Sie Ihre modernen Pumpflaschen 495 ml und 300 ml immer wieder neu, um Ihre Flüssigseife noch länger zu genießen. Die Seife eignet sich ideal für häufiges Händewaschen. Zudem kann sie als Köperreinigung verwendet werden: Auf die feuchte Haut auftragen, sanft einmassieren und anschließend gründlich abwaschen.  Hinweis: Nur für die äußerliche Anwendung. Den Kontakt mit den Augen vermeiden.;Aqua (Water), Potassium Cocoate, Glycerin, Parfum (Fragrance), Hydroxyethylcellulose, Tetrasodium Glutamate Diacetate, Cocos Nucifera (Coconut) Oil, Potassium Olivate, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Vitis Vinifera (Grape) Seed Oil, Tetrasodium EDTA, Linalool, Tocopherol, Disodium Phosphate, Polysorbate 60, Helianthus Annuus (Sunflower) Seed Oil, Olea Europaea (Olive) Fruit Oil, Sodium Phosphate;La Compagnie de Provence
